company_id,company_ja,metric_id,year,fiscal_period,value_local,currency,value_usd_oku,is_estimate,derived,status,source_url,source_note
samsung,サムスン電子,revenue,2016,2016年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2017,2017年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2018,2018年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2019,2019年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2020,2020年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2021,2021年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2022,2022年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2023,2023年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2024,2024年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,revenue,2025,2025年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2016,2016年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2017,2017年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2018,2018年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2019,2019年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2020,2020年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2021,2021年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2022,2022年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2023,2023年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2024,2024年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_income,2025,2025年12月期,,KRW,,,FALSE,unfilled,,
samsung,サムスン電子,operating_margin,2016,2016年12月期,,,,,TRUE,derived,,
