company_id,company_ja,metric_id,year,fiscal_period,value_local,currency,value_usd_oku,is_estimate,derived,status,source_url,source_note
fortinet,フォーティネット,revenue,2016,2016年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2017,2017年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2018,2018年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2019,2019年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2020,2020年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2021,2021年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2022,2022年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2023,2023年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2024,2024年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,revenue,2025,2025年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2016,2016年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2017,2017年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2018,2018年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2019,2019年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2020,2020年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2021,2021年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2022,2022年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2023,2023年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2024,2024年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_income,2025,2025年12月期,,USD,,,FALSE,unfilled,,
fortinet,フォーティネット,operating_margin,2016,2016年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2017,2017年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2018,2018年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2019,2019年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2020,2020年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2021,2021年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2022,2022年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2023,2023年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2024,2024年12月期,,,,,TRUE,derived,,
fortinet,フォーティネット,operating_margin,2025,2025年12月期,,,,,TRUE,derived,,
paloalto,パロアルト,revenue,2016,2016年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2017,2017年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2018,2018年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2019,2019年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2020,2020年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2021,2021年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2022,2022年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2023,2023年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2024,2024年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,revenue,2025,2025年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2016,2016年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2017,2017年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2018,2018年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2019,2019年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2020,2020年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2021,2021年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2022,2022年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2023,2023年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2024,2024年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_income,2025,2025年7月期,,USD,,,FALSE,unfilled,,
paloalto,パロアルト,operating_margin,2016,2016年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2017,2017年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2018,2018年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2019,2019年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2020,2020年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2021,2021年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2022,2022年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2023,2023年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2024,2024年7月期,,,,,TRUE,derived,,
paloalto,パロアルト,operating_margin,2025,2025年7月期,,,,,TRUE,derived,,
trendmicro,トレンドマイクロ,revenue,2016,2016年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2017,2017年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2018,2018年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2019,2019年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2020,2020年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2021,2021年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2022,2022年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2023,2023年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2024,2024年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,revenue,2025,2025年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2016,2016年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2017,2017年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2018,2018年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2019,2019年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2020,2020年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2021,2021年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2022,2022年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2023,2023年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2024,2024年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_income,2025,2025年12月期,,JPY,,,FALSE,unfilled,,
trendmicro,トレンドマイクロ,operating_margin,2016,2016年12月期,,,,,TRUE,derived,,
trendmicro,トレンドマイクロ,operating_margin,2017,2017年12月期,,,,,TRUE,derived,,
trendmicro,トレンドマイクロ,operating_margin,2018,2018年12月期,,,,,TRUE,derived,,
trendmicro,トレンドマイクロ,operating_margin,2019,2019年12月期,,,,,TRUE,derived,,
trendmicro,トレンドマイクロ,operating_margin,2020,2020年12月期,,,,,TRUE,derived,,
trendmicro,トレンドマイクロ,operating_margin,2021,2021年12月期,,,,,TRUE,derived,,
trendmicro,トレンドマイクロ,operating_margin,2022,2022年12月期,,,,,TRUE,derived,,
