date,type,topic_id,format,char_count,has_image,posted,views,likes,bookmarks,replies,profile_clicks,follows
2026-07-29,earnings,2026-07-28_MSFT,pre,218,false,false,,,,,,
2026-07-29,earnings,2026-07-28_MSFT,post,150,false,false,,,,,,
2026-07-29,earnings,2026-07-28_MSFT,morning,211,false,false,,,,,,
2026-07-30,earnings,2026-07-29_FOMC,pre,183,false,false,,,,,,
2026-07-30,earnings,2026-07-29_META,pre,211,false,false,,,,,,
2026-07-30,earnings,2026-07-29_FOMC,post,80,false,false,,,,,,
2026-07-30,earnings,2026-07-29_META,post,145,false,false,,,,,,
2026-07-30,earnings,2026-07-29_SKHY,pre,219,false,false,,,,,,
2026-07-30,earnings,2026-07-29_SKHY,post,154,false,false,,,,,,
2026-07-30,earnings,2026-07-29_META,morning,204,false,false,,,,,,
2026-07-30,earnings,2026-07-29_SKHY,morning,190,false,false,,,,,,
2026-07-30,earnings,2026-07-29_FOMC,morning,104,false,false,,,,,,
2026-07-31,earnings,2026-07-30_AAPL,pre,219,false,false,,,,,,
2026-07-31,earnings,2026-07-30_AMZN,pre,214,false,false,,,,,,
2026-07-31,earnings,2026-07-30_AAPL,post,147,false,false,,,,,,
2026-07-31,earnings,2026-07-30_AMZN,post,147,false,false,,,,,,
2026-07-31,earnings,2026-07-30_AAPL,morning,212,false,false,,,,,,
2026-07-31,earnings,2026-07-30_AMZN,morning,208,false,false,,,,,,
2026-07-31,earnings,2026-07-31_PCE,pre,178,false,false,,,,,,
2026-07-31,earnings,2026-07-31_PCE,post,80,false,false,,,,,,
2026-08-01,earnings,2026-07-31_PCE,morning,104,false,false,,,,,,
2026-08-02,evergreen,ev001,table,170,true,false,,,,,,
2026-08-07,earnings,2026-08-07_NFP,pre,185,false,false,,,,,,
2026-08-07,earnings,2026-08-07_NFP,post,83,false,false,,,,,,
2026-08-08,earnings,2026-08-07_NFP,morning,107,false,false,,,,,,
2026-08-09,evergreen,ev002,table,179,true,false,,,,,,
2026-08-12,earnings,2026-08-12_CPI,pre,179,false,false,,,,,,
2026-08-12,earnings,2026-08-12_CPI,post,80,false,false,,,,,,
2026-08-13,earnings,2026-08-12_CPI,morning,104,false,false,,,,,,
2026-08-16,evergreen,ev003,table,189,true,false,,,,,,
2026-08-23,evergreen,ev004,table,221,true,false,,,,,,
2026-08-27,earnings,2026-08-26_NVDA,pre,223,false,false,,,,,,
2026-08-27,earnings,2026-08-26_NVDA,post,149,false,false,,,,,,
2026-08-28,earnings,2026-08-26_NVDA,morning,217,false,false,,,,,,
2026-08-31,evergreen,ev005,table,203,true,false,,,,,,
